Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,3/19/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Bosnia and Herzegovina,BIH,Capture fisheries production (metric tons),ER.FSH.CAPT.MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201,201,201,201,252,253,254,255,255,255,255,255,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,,
Belarus,BLR,Capture fisheries production (metric tons),ER.FSH.CAPT.MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2848,3640,2988,793,1507,2993,787,715,821,499,457,980,553,944,1020,803,583,594,645,689,809,826,897,1122,965,697,766,869,686,776,802,,
Belize,BLZ,Capture fisheries production (metric tons),ER.FSH.CAPT.MT,900,600,800,900,900,800,900,1300,1300,1600,1500,1800,1900,1600,1618,1603,1613,3082,2808,2554,2066,2252,2288,2641,2672,2427,1838,2059,2151,1770,2033,2521,2414,3971,7670,9719,12168,24788,26600,51827,30322,30746,84360,43358,70046,100507,185773,305645,364274,304217,399928,277415,171946,34673,76190,97524,91431,121299,216107,,
Bermuda,BMU,Capture fisheries production (metric tons),ER.FSH.CAPT.MT,500,500,400,400,450,450,500,500,550,550,900,2380,2820,3220,3599,4572,7208,7635,8723,6347,4105,2024,2348,927,538,670,820,821,773,774,463,428,432,404,394,449,465,461,466,453,290,309,397,363,386,401,381,425,401,416,375,478,516,461,417,407,410,384,354,,
Bolivia,BOL,Capture fisheries production (metric tons),ER.FSH.CAPT.MT,700,500,1300,1400,1900,1800,1700,1500,1300,1200,1100,1300,1500,1500,1050,1050,1250,1550,1550,3650,4379,5617,4105,4105,4105,4170,3871,54226,34332,5676,7209,5167,7629,5518,5353,5692,5988,21999,7812,23552,6106,34110,37318,50127,42735,57690,50523,54885,61338,35453,31138,55289,65907,68671,91960,74606,50492,60940,36734,,
Brazil,BRA,Capture fisheries production (metric tons),ER.FSH.CAPT.MT,251813,276183,380156,335994,369280,389141,393610,420359,495735,492910,573824,614417,620891,760651,715827,753600,660596,731966,754237,782652,805801,806520,825152,873000,950469,957282,946560,934852,814543,780468,619805,648175,640941,653347,714305,607301,616636,652056,609021,610523,678197,731704,761763,725354,753574,750899,780092,795230,798943,834553,786545,769778,825237,792360,778550,723093,718966,729870,714292,,
Barbados,BRB,Capture fisheries production (metric tons),ER.FSH.CAPT.MT,5213,4613,4713,2813,2113,2613,4813,4613,3213,3013,2313,2313,2313,2613,2668,4223,4952,3188,3597,4267,3747,3423,3492,6534,5784,3832,4112,3610,8939,2585,3029,2292,3585,3225,2829,3592,3523,2820,3655,3281,3185,2731,2530,2849,2159,2193,1986,2235,3562,3507,3280,1818,1361,2976,2207,1500,1736,1695,1732,,
Brunei Darussalam,BRN,Capture fisheries production (metric tons),ER.FSH.CAPT.MT,800,900,900,1000,1000,1100,1200,1200,1300,1300,1500,1500,1500,1500,1560,1570,1644,2193,2704,2792,2225,2367,2357,3055,3425,3967,4106,3914,2040,2316,2348,1651,1692,1728,4445,4719,5729,4521,5049,3186,2487,1597,2058,1789,1923,2709,2279,2550,2357,1958,2351,2154,4528,2831,3186,3370,13292,11864,13566,,
Bhutan,BTN,Capture fisheries production (metric tons),ER.FSH.CAPT.MT,100,100,100,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,145,140,135,130,125,120,115,110,105,100,95,90,85,80,75,70,65,60,55,50,45,40,35,30,25,20,15,10,8,6,4,2,3,5,7,12,16,15,,
Botswana,BWA,Capture fisheries production (metric tons),ER.FSH.CAPT.MT,400,400,500,500,500,500,600,600,800,800,800,1100,1200,1200,1200,1200,1600,1500,1000,1000,1250,1450,1400,1250,1500,1500,1700,1900,1900,3600,1900,1718,2124,8014,987,899,428,498,193,166,177,270,139,131,161,132,81,442,460,1699,1560,2234,3178,4431,5668,4521,938,3238,1638,,
Central African Republic,CAF,Capture fisheries production (metric tons),ER.FSH.CAPT.MT,2000,2000,2000,2500,2500,3000,4000,5000,5000,6000,7000,8000,8000,10000,11883,8044,10465,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13500,13000,13250,13500,13750,14000,14250,14500,15000,15000,17000,19000,21000,23000,25000,27000,29000,31000,33000,35000,35000,32000,30000,29000,28000,29000,29000,29000,,
Canada,CAN,Capture fisheries production (metric tons),ER.FSH.CAPT.MT,1078657,1107271,1287603,1398267,1393173,1415523,1536806,1446973,1602454,1574680,1539114,1447676,1247963,1230495,1134994,1151734,1259014,1397603,1557631,1598186,1540967,1638177,1581757,1436369,1338814,1496957,1561523,1665224,1801383,1719422,1748034,1561348,1400108,1188849,1120321,948410,1195329,1274391,1291796,1277027,1121610,1273725,1393777,1416714,1539709,1435836,1419355,1268623,1183314,1046704,1042771,977609,898518,984043,940217,899220,945610,933012.75,898781,,
Central Europe and the Baltics,CEB,Capture fisheries production (metric tons),ER.FSH.CAPT.MT,212911,215222,208566,254087,290531,335091,378231,405932,486458,511712,598688,659705,699310,743935,882672,1051521,997135,905055,773807,821169,894563,868837,905346,1057714,1011402,961696,966362,993652,2321293,2144783,1743724,1788456,1090077.078,870383.2734,811942.0078,857425.0537,742931.9961,675836.4922,597272.0781,599622.1914,598502.2441,659039.125,651896.5391,588829.0352,626027.1211,606184.0898,594423.3018,663774.0868,663206.7921,740364.759,679202.3008,670760.6715,518613.3677,594189.5598,639295.5,549692.392,620771.019,621943.7263,621436.0809,,
Switzerland,CHE,Capture fisheries production (metric tons),ER.FSH.CAPT.MT,2500,2800,2800,3300,2800,2700,3000,3000,3500,3500,2400,2800,3595,3590,3785,3875,3875,3922,3730,3760,3330,3476,3149,3290,3841,4294,4386,4271,3973,3303,3158,3599,2715,1822,1481,1588,1841,1859,1809,1840,1659,1715,1544,1815,1602,1738,1690,1653,2084,2184,2101,2098,2003,2007,1983,2023,1851,1932,1553,,
Channel Islands,CHI,Capture fisheries production (metric tons),ER.FSH.CAPT.MT,800,1000,1000,1000,1000,1200,1200,1200,1200,1200,1300,1300,1300,1700,1625,1449,1368,2004,2688,2704,2906,2800,2241,3477,3669,3024,2318,2365,2743,2910,3005,2805,2835,2854,2783,2949,4346,4238,4117,3601,3589,3927,3449,3526,3201,3505,3468,3566,3228,2649,3373,2976,2955,2848,2983,2574,2985,,,,
Chile,CHL,Capture fisheries production (metric tons),ER.FSH.CAPT.MT,348826,443159,645892,775331,1177517,730505,1405728,1086064,1392529,1110145,1230576,1516403,821074,694346,1171690,970116,1442532,1378213,2001804,2704733,2897821,3502061,3841473,4165537,4665417,4979368,5685596,4917724,5344086,6581968,5354529,6061055,6511083,6056674,7837699,7684846,6909727,5990612,3463178,5281824,4547594,4031799,4515437,3921103,5317386,4738169,4461870,4132856,3939379,3821819,3048316,3466961,3008915,2288885,2592790,2131953,1826937,2334421,2369456,,
China,CHN,Capture fisheries production (metric tons),ER.FSH.CAPT.MT,2215094,2395838,2539279,2491069,2466117,2530460,2504425,2509289,2625692,2553251,2490020,2703602,3008671,3099216,3384961,3496766,3597449,3623109,3451288,3071706,3146970,3140232,3508610,3670055,3940713,4210121,4810254,5407952,5812730,6224910,6714530,7452199,8422552,9475687,11017836,12712706,14333737,14719861,15472568,15208077,14823866,14403875,14426596,14598934,14786243,14850730,14995706,14987636,15157263,15062980,15054057,15263615,15446318,15633567,16363366,16647935,16019262,15576685,14831310,,
Cote d'Ivoire,CIV,Capture fisheries production (metric tons),ER.FSH.CAPT.MT,40500,42100,43600,45600,54600,59500,60800,66100,68400,67400,64302,77530,75199,60763,66690,58590,75917,67054,65012,73621,70068,75586,73753,79858,73680,101867,103435,101453,89336,99003,95000,82855,87039,69823,73978,70189,72711,67167,72528,78273,80323,76005,69870,68903,54401,42665,54830,47300,43799,42893,48038,52468,52565,61334,74799,98546,104234,91249,105529,,
Cameroon,CMR,Capture fisheries production (metric tons),ER.FSH.CAPT.MT,51700,56500,58100,59400,59800,61100,62600,63400,65100,68100,68800,64700,60400,57600,55736,66280,70397,70167,68867,81214,81045,79761,83012,77277,75299,73969,71980,70636,70799,69829,70742,69318,71975,65257,79020,94131,98529,102000,106800,110000,112109,121031,130135,117801,129000,142345,137232,138612,155300,172000,181000,190000,199000,207000,215000,224000,233190,266737,281945,,
"Congo, Dem. Rep.",COD,Capture fisheries production (metric tons),ER.FSH.CAPT.MT,77000,75000,77000,69500,75000,81000,84000,93400,127700,149300,136600,123900,124200,156900,128810,113380,117858,107000,108706,115182,102415,102640,100700,102000,148219,148276,155825,161577,161841,166240,162700,165850,187840,196789,155897,158627,163010,162211,178041,208448,244619,231378,237690,234375,235752,234814,234562,234252,231447,228363,224491,221250,218000,227414,229612,230726,237372,238000,238000,,
"Congo, Rep.",COG,Capture fisheries production (metric tons),ER.FSH.CAPT.MT,11000,11000,12600,12500,13600,14000,14200,13600,14100,13900,14399,16010,24526,22200,23718,23103,26869,24364,26297,29630,31965,29665,30835,35207,32807,29878,31992,38265,43143,46306,48514,45334,39992,46748,42664,45776,45473,38082,42955,43509,45958,48830,51927,53865,57024,54616,59082,59216,54104,61218,65186,73233,81054,73117,73438,69242,86748,94955,98650,,
Colombia,COL,Capture fisheries production (metric tons),ER.FSH.CAPT.MT,29800,43300,52000,47700,50300,53500,59200,86200,83600,57600,54500,37696,110687,105282,62387,66527,75043,63881,79467,63246,76000,94431,71042,57104,78514,70775.32031,82474.47656,84450.33594,104618.3359,203939.2969,239286,214522,351944,582718.5,636269.5,959539,786621,600760,805005,898882,969264,850577,665378,685996,724563,723088,1078727,794967,645653,511846,728933,727586,701721,928327,831987,599246,439986,401284,148195,,
Comoros,COM,Capture fisheries production (metric tons),ER.FSH.CAPT.MT,817,817,917,917,917,917,875,875,1235,1235,1661,2469,2878,3286,4046,4755,4863,5620,6026,6485,6951,7459,7974,8493,8999,9515,9970,10378,10913,10751,11251,11551,12590,12757,13537,13109,12696,12576,12317,11818,12003,11425,11178,11053,10987,10738,10464,14401,22714,44745,63447,38180,36296,43732,9256,12674,16407,16820,13089,,
Cabo Verde,CPV,Capture fisheries production (metric tons),ER.FSH.CAPT.MT,1600,1600,1500,2000,2500,3500,4000,5900,4900,4000,5181,4153,4078,8333,3428,3900,3800,6000,7000,7476,8837,14730,12453,11863,10730,10190,7335,7312,6387,8614,6579.040039,7378.100098,6573,7000,8256,8495,9255,9705,9424,10360,10586,8676,8851,8136,11031,21931,19826,20127,21119,19213,21412,23077,20943,35984,35677,37744,27397,18697,26586,,
Costa Rica,CRI,Capture fisheries production (metric tons),ER.FSH.CAPT.MT,2200,2400,2500,2400,3600,3400,3300,3500,5000,4100,8100,10560,12550,12360,15554,16172,14197,15392,22642,20766,16426,16010,12567,11108,16390,20383,22951,16970,16670,17030,18370,16043,16010,16172,17134,17441,24335,26696,24660,28029,35163,34016,33045,29556,20000,21489,19195,19751,21405,19814,17916,13931,15045,18558,14746,14750,13673,13673,13673,,
Caribbean small states,CSS,Capture fisheries production (metric tons),ER.FSH.CAPT.MT,31823,38713,38563,36463,38023,41573,45093,46373,47763,50563,54161,52784,56924,59714,64070,65625,61528,75478,76569,72775,69678,69296.78906,69574.03906,85984.1543,159215.0664,240846.8184,135400.8994,128892.0303,141059.6689,99376.61133,111792.1807,115205.5439,114381.5322,116086.9443,135766.0156,133302.4834,138010.1436,157397.5918,193151.6846,214837,182918,207235,278789,235444,295436,287203,385348,516906,565946,519582.8301,645014.4404,548621,372865.8281,267641,386418.2197,377580.29,322606,400652.9404,368954.6943,,
Cuba,CUB,Capture fisheries production (metric tons),ER.FSH.CAPT.MT,31200,30600,35000,35612,37165,41080,43826,65955,66170,78699,104150,126650,139141,149707,163819,143013,193180,183439,211486,151711,184141,161857,191517,194349,195475.2969,215225.9063,239932.2969,209195.5938,225323.0938,185846.9063,179893.7969,162800.5938,100966.7969,84934.29688,77701.39844,80165.20313,84548.79688,77307.5,58746.10156,60648.10156,68488,54711,32587,34088,32195,28235,27587,29485,28715,28892,23996,24106,22320,22103,25056,25634,23574,21548,22621,,
Curacao,CUW,Capture fisheries production (metric tons),ER.FSH.CAPT.MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22074,24995,26139,28494,30159,35534,32626,37910,,
Cayman Islands,CYM,Capture fisheries production (metric tons),ER.FSH.CAPT.MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,1391,3992,933,655,423,396,478,1097,386,615,837,586,825,445,125,125,110,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,,
Cyprus,CYP,Capture fisheries production (metric tons),ER.FSH.CAPT.MT,500,400,600,600,600,1006,1009,1014,1412,1409,1363,1255,1340,1459,1180,919,1052,1189,1245,1283,1308,1426,1545,1938.770996,2206,2382,2541.387939,2543,2505,2542,2584,2921,9336,10016,9427,9320,12526,24819,19304,39638,68345,54723,141079,47740,78724,61313,29940,2446,1996,1409,1395,1188,1323,1183,1268,1488,1494,1756,1490,,
Czech Republic,CZE,Capture fisheries production (metric tons),ER.FSH.CAPT.MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3185,3955,3929,3524,3321,3952,4190,4654,4646,4983,5127,4528,4242,4646,4276,4164,4112,3990,3859,4033,3761,3812,3841,3507,3557,3650,,
Germany,DEU,Capture fisheries production (metric tons),ER.FSH.CAPT.MT,768100,732000,769900,824900,836200,850200,861700,930900,964500,950900,916021,825676,736404,821784,861817,788675,700436,619318,589193,565071,523777,549483,499021,473786,455971,365323,345153,332906,321107,346038,326325,235931,216899,253022,230179,239897,236425,259356,266092,237857,204089,209150,221780,257657,258348,281372,293046,290538,274289,244055,243150,233888,214408,235116,242743,261744,271200,248237,279213,,
Djibouti,DJI,Capture fisheries production (metric tons),ER.FSH.CAPT.MT,900,800,900,1000,300,300,300,300,300,300,300,300,100,200,380,300,230,230,230,231,251,385,426,409,409,380,409,426,454,399,360,252,275,300,320,350,400,500,600,700,800,900,1000,1100,1200,1571,1299,1229,1206,1058,1590,1667,2167,1702,2298,2012,2220,2022,2102,,
Dominica,DMA,Capture fisheries production (metric tons),ER.FSH.CAPT.MT,500,500,600,600,600,500,500,500,600,600,500,600,700,800,900,1001,1024,1047,1070,642,1445,1514,1545,800,700,640,644,500,500,500,458,552,711,794,882,950,1030,1079,1212,1200,1200,1200,1198,950,700,579,694,677,699,772,700,662,625,527,1029,990,809,784,762,,
Denmark,DNK,Capture fisheries production (metric tons),ER.FSH.CAPT.MT,568602,629954,777402,840080,862798,830021,840667,1059777,1454630,1264254,1217228,1388991,1429007,1430486,1823180,1751851,1905048,1792979,1734709,1724138,2013518,1838243,1909718,1845546,1827875,1772745,1825356,1681965,1945755,1896338,1475700,1751238,1953946,1618738,1877765,2006033,1681518,1826852,1562541,1409227,1538238,1514581,1442348,1031221,1090596,910598,867721,653053,690584,777752,828089,716387,502790,668480,745146,869013,670328,904572,789284,,
Dominican Republic,DOM,Capture fisheries production (metric tons),ER.FSH.CAPT.MT,1300,1600,1700,3200,4200,4100,3500,3200,4600,4800,5200,4600,5600,9200,6810,5906,7053,4594,5086,7885,10658,12003,13169,12849,13875,17009.90039,16988.09961,20129,12663,21663,19495,16839,12846,12857,22832,17874,12894,14535,10171,8418,11015,13217,17261,18097,14223,11193,12956,13709,15382,14233,14490,14005,13663,13188,13782,11893,14640,15715,13542,,
